index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.0053125,108,0.127301,-414,-0.484577,-138,-0.153632
1,10,1,0.010625,118,0.139571,-410,-0.479669,-154,-0.173264
2,11,0,0.0159375,86,0.100307,-338,-0.391325,-117,-0.127865
3,11,1,0.02125,71,0.0819018,-296,-0.339791,-98,-0.104552
4,12,0,0.0265625,55,0.0622699,-243,-0.274761,-81,-0.0836933
5,13,0,0.031875,35,0.0377301,-173,-0.188871,-60,-0.0579264
6,13,1,0.0371875,20,0.0193252,-113,-0.115252,-41,-0.0346135
7,14,0,0.0425,11,0.00828221,-60,-0.0502209,-29,-0.0198896
8,14,1,0.0478125,1,-0.00398773,-13,0.00744785,-14,-0.00148466
9,15,0,0.053125,-8,-0.0150307,34,0.0651166,1,0.0169202
10,15,1,0.0584375,-15,-0.0236196,68,0.106834,7,0.0242822
11,16,0,0.06375,-15,-0.0236196,85,0.127693,9,0.0267362
12,16,1,0.0690625,-1,-0.00644172,17,0.0442577,-5,0.00955828
13,17,0,0.074375,6,0.00214724,-40,-0.025681,-16,-0.00393865
14,17,1,0.0796875,4,-0.000306748,-31,-0.014638,-16,-0.00393865
15,18,0,0.085,1,-0.00398773,-23,-0.00482209,-15,-0.00271166
16,18,1,0.0903125,3,-0.00153374,-16,0.00376687,-14,-0.00148466
17,19,0,0.095625,2,-0.00276074,-18,0.00131288,-14,-0.00148466
18,20,0,0.100937,3,-0.00153374,-24,-0.00604908,-19,-0.00761963
19,20,1,0.10625,7,0.00337423,-20,-0.0011411,-16,-0.00393865
20,21,0,0.111562,6,0.00214724,-17,0.00253988,-16,-0.00393865
21,21,1,0.116875,7,0.00337423,-10,0.0111288,-16,-0.00393865
22,22,0,0.122187,10,0.00705521,-12,0.00867485,-15,-0.00271166
23,22,1,0.1275,9,0.00582822,-16,0.00376687,-13,-0.000257669
24,23,0,0.132812,7,0.00337423,-19,8.58892e-05,-8,0.0058773
25,23,1,0.138125,5,0.000920245,-19,8.58892e-05,-11,0.00219632
26,24,0,0.143437,4,-0.000306748,-22,-0.00359509,-12,0.000969325
27,24,1,0.14875,6,0.00214724,-26,-0.00850307,-17,-0.00516564
28,25,0,0.154062,4,-0.000306748,-23,-0.00482209,-14,-0.00148466
29,25,1,0.159375,5,0.000920245,-17,0.00253988,-11,0.00219632
30,26,0,0.164687,1,-0.00398773,-22,-0.00359509,-11,0.00219632
31,26,1,0.17,-3,-0.00889571,-28,-0.0109571,-13,-0.000257669
32,27,0,0.175312,0,-0.00521472,-27,-0.00973006,-16,-0.00393865
33,27,1,0.180625,1,-0.00398773,-29,-0.012184,-18,-0.00639264
34,28,0,0.185937,5,0.000920245,-28,-0.0109571,-13,-0.000257669
35,29,0,0.19125,4,-0.000306748,-23,-0.00482209,-12,0.000969325
36,29,1,0.196562,1,-0.00398773,-27,-0.00973006,-19,-0.00761963
37,30,0,0.201875,5,0.000920245,-28,-0.0109571,-15,-0.00271166
38,30,1,0.207187,0,-0.00521472,-26,-0.00850307,-10,0.00342331
39,31,0,0.2125,3,-0.00153374,-23,-0.00482209,-10,0.00342331
40,31,1,0.217812,8,0.00460123,-18,0.00131288,-11,0.00219632
41,32,0,0.223125,6,0.00214724,-21,-0.0023681,-16,-0.00393865
42,32,1,0.228437,3,-0.00153374,-28,-0.0109571,-19,-0.00761963
43,33,0,0.23375,0,-0.00521472,-26,-0.00850307,-17,-0.00516564
44,33,1,0.239062,-1,-0.00644172,-29,-0.012184,-17,-0.00516564
45,34,0,0.244375,-2,-0.00766871,-28,-0.0109571,-16,-0.00393865
46,34,1,0.249687,6,0.00214724,-30,-0.013411,-11,0.00219632
47,35,0,0.255,6,0.00214724,-29,-0.012184,-11,0.00219632
48,35,1,0.260313,3,-0.00153374,-26,-0.00850307,-14,-0.00148466
49,36,0,0.265625,3,-0.00153374,-12,0.00867485,-11,0.00219632
50,37,0,0.270937,8,0.00460123,-2,0.0209448,-11,0.00219632
51,37,1,0.27625,8,0.00460123,5,0.0295337,-15,-0.00271166
52,38,0,0.281562,7,0.00337423,24,0.0528466,-15,-0.00271166
53,38,1,0.286875,5,0.000920245,46,0.0798405,-14,-0.00148466
54,39,0,0.292187,0,-0.00521472,71,0.110515,-9,0.00465031
55,39,1,0.2975,-1,-0.00644172,105,0.152233,-13,-0.000257669
56,40,0,0.302812,-3,-0.00889571,149,0.206221,-21,-0.0100736
57,40,1,0.308125,-6,-0.0125767,195,0.262663,-33,-0.0247975
58,41,0,0.313437,-4,-0.0101227,264,0.347325,-38,-0.0309325
59,41,1,0.31875,2,-0.00276074,354,0.457755,-32,-0.0235706
60,42,0,0.324062,0,-0.00521472,424,0.543644,-21,-0.0100736
61,42,1,0.329375,-2,-0.00766871,466,0.595178,-18,-0.00639264
62,43,0,0.334687,1,-0.00398773,502,0.63935,-26,-0.0162086
63,43,1,0.34,-4,-0.0101227,537,0.682294,-32,-0.0235706
64,44,0,0.345312,-3,-0.00889571,566,0.717877,-42,-0.0358405
65,45,0,0.350625,-5,-0.0113497,603,0.763276,-47,-0.0419755
66,45,1,0.355937,-5,-0.0113497,644,0.813583,-48,-0.0432025
67,46,0,0.36125,-7,-0.0138037,687,0.866344,-55,-0.0517914
68,46,1,0.366562,-9,-0.0162577,731,0.920331,-58,-0.0554724
69,47,0,0.371875,-9,-0.0162577,777,0.976773,-69,-0.0689693
70,47,1,0.377187,-5,-0.0113497,829,1.04058,-63,-0.0616074
71,48,0,0.3825,3,-0.00153374,916,1.14733,-36,-0.0284785
72,48,1,0.387812,14,0.0119632,1010,1.26266,0,0.0156933
73,49,0,0.393125,11,0.00828221,1092,1.36328,-3,0.0120123
74,49,1,0.398437,11,0.00828221,1171,1.46021,-3,0.0120123
75,50,0,0.40375,10,0.00705521,1242,1.54733,-5,0.00955828
76,50,1,0.409062,12,0.0095092,1320,1.64303,5,0.0218282
77,51,0,0.414375,11,0.00828221,1396,1.73628,8,0.0255092
78,52,0,0.419687,7,0.00337423,1469,1.82585,9,0.0267362
79,52,1,0.425,10,0.00705521,1540,1.91297,5,0.0218282
80,52,2,0.430312,4,-0.000306748,1613,2.00254,4,0.0206012
81,53,0,0.435625,5,0.000920245,1690,2.09702,5,0.0218282
82,54,0,0.440937,8,0.00460123,1752,2.17309,10,0.0279632
83,54,1,0.44625,5,0.000920245,1820,2.25653,5,0.0218282
84,55,0,0.451562,8,0.00460123,1886,2.33751,9,0.0267362
85,55,1,0.456875,5,0.000920245,1955,2.42217,13,0.0316442
86,56,0,0.462187,8,0.00460123,2022,2.50438,11,0.0291902
87,56,1,0.4675,3,-0.00153374,2079,2.57432,10,0.0279632
88,57,0,0.472812,-4,-0.0101227,2139,2.64794,7,0.0242822
89,57,1,0.478125,-6,-0.0125767,2209,2.73383,8,0.0255092
90,58,0,0.483437,-8,-0.0150307,2274,2.81358,8,0.0255092
91,58,1,0.48875,-7,-0.0138037,2335,2.88843,11,0.0291902
92,59,0,0.494062,-9,-0.0162577,2405,2.97432,6,0.0230552
93,59,1,0.499375,2,-0.00276074,2462,3.04426,2,0.0181472
94,60,0,0.504687,13,0.0107362,2527,3.12401,2,0.0181472
95,60,1,0.51,15,0.0131902,2603,3.21726,12,0.0304172
96,61,0,0.515312,26,0.0266871,2676,3.30683,13,0.0316442
97,62,0,0.520625,37,0.0401841,2752,3.40009,19,0.0390061
98,62,1,0.525937,48,0.053681,2848,3.51788,20,0.0402331
99,63,0,0.53125,65,0.0745399,2936,3.62585,18,0.0377791
100,63,1,0.536562,90,0.105215,3033,3.74487,23,0.0439141
101,64,0,0.541875,92,0.107669,3121,3.85285,36,0.059865
102,64,1,0.547187,40,0.043865,3213,3.96573,27,0.0488221
103,65,0,0.5525,24,0.0242331,3294,4.06512,16,0.0353252
104,65,1,0.557812,9,0.00582822,3367,4.15469,11,0.0291902
105,66,0,0.563125,20,0.0193252,3438,4.2418,10,0.0279632
106,66,1,0.568437,34,0.0365031,3517,4.33874,16,0.0353252
107,67,0,0.57375,41,0.045092,3594,4.43321,21,0.0414601
108,67,1,0.579062,30,0.0315951,3663,4.51788,19,0.0390061
109,68,0,0.584375,21,0.0205521,3733,4.60377,19,0.0390061
110,68,1,0.589687,16,0.0144172,3797,4.68229,15,0.0340982
111,69,0,0.595,26,0.0266871,3872,4.77432,13,0.0316442
112,70,0,0.600312,40,0.043865,3946,4.86512,13,0.0316442
