index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00124117,752,1.16924,-140,-0.036804,8028,9.71176
1,10,1,0.00248234,792,1.21694,-108,0.00118723,8200,9.91553
2,10,2,0.00372351,752,1.16924,-116,-0.00831058,8192,9.90605
3,10,3,0.00496468,800,1.22648,-136,-0.0320551,8176,9.8871
4,10,4,0.00620585,760,1.17878,-128,-0.0225573,8200,9.91553
5,10,5,0.00744702,728,1.14062,-152,-0.0510507,8164,9.87288
6,10,6,0.00868819,736,1.15016,-144,-0.0415529,8192,9.90605
7,10,7,0.00992936,760,1.17878,-144,-0.0415529,8108,9.80653
8,11,0,0.0111705,728,1.14062,-116,-0.00831058,8172,9.88236
9,11,1,0.0124117,736,1.15016,-128,-0.0225573,8200,9.91553
10,11,2,0.0136529,776,1.19786,-124,-0.0178084,8196,9.91079
11,11,3,0.014894,800,1.22648,-144,-0.0415529,8160,9.86814
12,11,4,0.0161352,784,1.2074,-124,-0.0178084,8180,9.89183
13,11,5,0.0173764,768,1.18832,-184,-0.0890419,8184,9.89657
14,11,6,0.0186176,784,1.2074,-116,-0.00831058,8172,9.88236
15,11,7,0.0198587,800,1.22648,-136,-0.0320551,8128,9.83023
16,12,0,0.0210999,792,1.21694,-148,-0.0463018,8132,9.83497
17,12,1,0.0223411,776,1.19786,-132,-0.0273062,8108,9.80653
18,12,2,0.0235822,828,1.25987,-124,-0.0178084,8148,9.85392
19,12,3,0.0248234,784,1.2074,-116,-0.00831058,8200,9.91553
20,12,4,0.0260646,828,1.25987,-80,0.0344295,8080,9.77336
21,12,5,0.0273058,836,1.26941,-112,-0.00356168,8124,9.82549
22,12,6,0.0285469,836,1.26941,-116,-0.00831058,8164,9.87288
23,12,7,0.0297881,820,1.25033,-120,-0.0130595,8116,9.81601
24,13,0,0.0310293,872,1.31234,-92,0.0201828,8064,9.75441
25,13,1,0.0322704,828,1.25987,-116,-0.00831058,8112,9.81127
26,13,2,0.0335116,816,1.24556,-88,0.0249317,8124,9.82549
27,13,3,0.0347528,828,1.25987,-116,-0.00831058,8192,9.90605
28,13,4,0.0359939,856,1.29326,-104,0.00593613,8200,9.91553
29,13,5,0.0372351,820,1.25033,-116,-0.00831058,8184,9.89657
30,13,6,0.0384763,840,1.27418,-128,-0.0225573,8224,9.94396
31,13,7,0.0397175,804,1.23125,-100,0.010685,8224,9.94396
32,14,0,0.0409586,808,1.23602,-116,-0.00831058,8224,9.94396
33,14,1,0.0421998,844,1.27895,-168,-0.0700463,8240,9.96292
34,14,2,0.043441,816,1.24556,-100,0.010685,8184,9.89657
35,14,3,0.0446821,812,1.24079,-144,-0.0415529,8216,9.93448
36,14,4,0.0459233,828,1.25987,-144,-0.0415529,8192,9.90605
37,14,5,0.0471645,796,1.22171,-144,-0.0415529,8208,9.92501
38,14,6,0.0484057,820,1.25033,-152,-0.0510507,8192,9.90605
39,14,7,0.0496468,784,1.2074,-108,0.00118723,8168,9.87762
40,15,0,0.050888,776,1.19786,-112,-0.00356168,8108,9.80653
41,15,1,0.0521292,792,1.21694,-88,0.0249317,8176,9.8871
42,15,2,0.0533703,816,1.24556,-116,-0.00831058,8164,9.87288
43,15,3,0.0546115,784,1.2074,-120,-0.0130595,8120,9.82075
44,15,4,0.0558527,800,1.22648,-76,0.0391784,8064,9.75441
45,15,5,0.0570938,784,1.2074,-36,0.0866675,8088,9.78284
46,15,6,0.058335,760,1.17878,-108,0.00118723,8140,9.84445
47,15,7,0.0595762,768,1.18832,-80,0.0344295,8124,9.82549
48,16,0,0.0608174,800,1.22648,-88,0.0249317,8168,9.87762
49,16,1,0.0620585,828,1.25987,-116,-0.00831058,8124,9.82549
50,16,2,0.0632997,776,1.19786,-116,-0.00831058,8104,9.8018
51,16,3,0.0645409,816,1.24556,-88,0.0249317,8108,9.80653
52,16,4,0.065782,824,1.2551,-108,0.00118723,8164,9.87288
53,16,5,0.0670232,784,1.2074,-104,0.00593613,8132,9.83497
54,16,6,0.0682644,800,1.22648,-116,-0.00831058,8152,9.85866
55,16,7,0.0695055,776,1.19786,-128,-0.0225573,8096,9.79232
56,17,0,0.0707467,828,1.25987,-112,-0.00356168,8104,9.8018
57,17,1,0.0719879,800,1.22648,-160,-0.0605485,8156,9.8634
58,17,2,0.0732291,800,1.22648,-128,-0.0225573,8184,9.89657
59,17,3,0.0744702,828,1.25987,-176,-0.0795441,8200,9.91553
60,17,4,0.0757114,792,1.21694,-128,-0.0225573,8116,9.81601
61,17,5,0.0769526,820,1.25033,-120,-0.0130595,8200,9.91553
62,17,6,0.0781937,828,1.25987,-116,-0.00831058,8248,9.9724
63,17,7,0.0794349,832,1.26464,-120,-0.0130595,8216,9.93448
64,18,0,0.0806761,828,1.25987,-144,-0.0415529,8240,9.96292
65,18,1,0.0819173,816,1.24556,-88,0.0249317,8132,9.83497
66,18,2,0.0831584,832,1.26464,-104,0.00593613,8240,9.96292
67,18,3,0.0843996,840,1.27418,-108,0.00118723,8232,9.95344
68,18,4,0.0856408,840,1.27418,-104,0.00593613,8216,9.93448
69,18,5,0.0868819,808,1.23602,-104,0.00593613,8124,9.82549
70,18,6,0.0881231,824,1.2551,-88,0.0249317,8216,9.93448
71,18,7,0.0893643,828,1.25987,-76,0.0391784,8204,9.92027
72,19,0,0.0906054,792,1.21694,-80,0.0344295,8216,9.93448
73,19,1,0.0918466,840,1.27418,-92,0.0201828,8208,9.92501
74,19,2,0.0930878,820,1.25033,-88,0.0249317,8112,9.81127
75,19,3,0.094329,816,1.24556,-72,0.0439273,8124,9.82549
76,19,4,0.0955701,776,1.19786,-124,-0.0178084,8132,9.83497
77,19,5,0.0968113,808,1.23602,-108,0.00118723,8080,9.77336
78,19,6,0.0980525,784,1.2074,-160,-0.0605485,8160,9.86814
79,19,7,0.0992936,784,1.2074,-112,-0.00356168,8184,9.89657
80,20,0,0.100535,792,1.21694,-136,-0.0320551,8156,9.8634
81,20,1,0.101776,824,1.2551,-128,-0.0225573,8192,9.90605
82,20,2,0.103017,784,1.2074,-144,-0.0415529,8172,9.88236
83,20,3,0.104258,776,1.19786,-124,-0.0178084,8172,9.88236
84,20,4,0.105499,760,1.17878,-132,-0.0273062,8116,9.81601
85,20,5,0.106741,720,1.13108,-120,-0.0130595,8064,9.75441
86,20,6,0.107982,768,1.18832,-116,-0.00831058,8172,9.88236
87,20,7,0.109223,768,1.18832,-104,0.00593613,8124,9.82549
88,21,0,0.110464,752,1.16924,-116,-0.00831058,8064,9.75441
89,21,1,0.111705,760,1.17878,-96,0.0154339,8052,9.74019
90,21,2,0.112947,752,1.16924,-92,0.0201828,8112,9.81127
91,21,3,0.114188,760,1.17878,-88,0.0249317,8164,9.87288
92,21,4,0.115429,752,1.16924,-72,0.0439273,8120,9.82075
93,21,5,0.11667,708,1.11677,-96,0.0154339,8164,9.87288
94,21,6,0.117911,736,1.15016,-124,-0.0178084,8072,9.76388
95,21,7,0.119152,700,1.10723,-96,0.0154339,8184,9.89657
96,22,0,0.120394,712,1.12154,-116,-0.00831058,8116,9.81601
97,22,1,0.121635,752,1.16924,-104,0.00593613,8108,9.80653
98,22,2,0.122876,728,1.14062,-96,0.0154339,8140,9.84445
99,22,3,0.124117,752,1.16924,-100,0.010685,8124,9.82549
100,22,4,0.125358,708,1.11677,-132,-0.0273062,8184,9.89657
101,22,5,0.126599,736,1.15016,-116,-0.00831058,8176,9.8871
102,22,6,0.127841,736,1.15016,-116,-0.00831058,8140,9.84445
103,22,7,0.129082,728,1.14062,-116,-0.00831058,8176,9.8871
104,23,0,0.130323,760,1.17878,-108,0.00118723,8176,9.8871
105,23,1,0.131564,704,1.112,-160,-0.0605485,8152,9.85866
106,23,2,0.132805,736,1.15016,-152,-0.0510507,8120,9.82075
107,23,3,0.134046,744,1.1597,-152,-0.0510507,8084,9.7781
108,23,4,0.135288,752,1.16924,-124,-0.0178084,8120,9.82075
109,23,5,0.136529,752,1.16924,-136,-0.0320551,8096,9.79232
110,23,6,0.13777,728,1.14062,-108,0.00118723,8096,9.79232
111,23,7,0.139011,776,1.19786,-116,-0.00831058,8116,9.81601
112,24,0,0.140252,772,1.19309,-104,0.00593613,8064,9.75441
113,24,1,0.141493,760,1.17878,-88,0.0249317,8168,9.87762
114,24,2,0.142735,776,1.19786,-120,-0.0130595,8156,9.8634
115,24,3,0.143976,760,1.17878,-108,0.00118723,8072,9.76388
116,24,4,0.145217,812,1.24079,-104,0.00593613,8156,9.8634
117,24,5,0.146458,768,1.18832,-96,0.0154339,8092,9.78758
118,24,6,0.147699,784,1.2074,-104,0.00593613,8124,9.82549
119,24,7,0.14894,808,1.23602,-108,0.00118723,8140,9.84445
120,25,0,0.150182,792,1.21694,-104,0.00593613,8064,9.75441
121,25,1,0.151423,744,1.1597,-116,-0.00831058,8156,9.8634
122,25,2,0.152664,760,1.17878,-108,0.00118723,8156,9.8634
123,25,3,0.153905,784,1.2074,-88,0.0249317,8164,9.87288
124,25,4,0.155146,792,1.21694,-144,-0.0415529,8064,9.75441
125,25,5,0.156387,744,1.1597,-116,-0.00831058,8216,9.93448
126,25,6,0.157629,736,1.15016,-144,-0.0415529,8160,9.86814
